Planning Area,Subzone,Age Group,Type of Dwelling,2024
Serangoon,Seletar Hills,45 - 49,3-Room Flats,-
Serangoon,Seletar Hills,45 - 49,4-Room Flats,-
Serangoon,Seletar Hills,45 - 49,5-Room and Executive Flats,-
Serangoon,Seletar Hills,45 - 49,Condominiums and Other Apartments,170
Serangoon,Seletar Hills,45 - 49,Landed Properties,890
Serangoon,Seletar Hills,45 - 49,Others,-
Serangoon,Seletar Hills,50 - 54,Total,1210
Serangoon,Seletar Hills,50 - 54,Total HDB^,-
Serangoon,Seletar Hills,50 - 54,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,50 - 54,3-Room Flats,-
Serangoon,Seletar Hills,50 - 54,4-Room Flats,-
Serangoon,Seletar Hills,50 - 54,5-Room and Executive Flats,-
Serangoon,Seletar Hills,50 - 54,Condominiums and Other Apartments,160
Serangoon,Seletar Hills,50 - 54,Landed Properties,1040
Serangoon,Seletar Hills,50 - 54,Others,-
Serangoon,Seletar Hills,55 - 59,Total,1150
Serangoon,Seletar Hills,55 - 59,Total HDB^,-
Serangoon,Seletar Hills,55 - 59,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,55 - 59,3-Room Flats,-
Serangoon,Seletar Hills,55 - 59,4-Room Flats,-
Serangoon,Seletar Hills,55 - 59,5-Room and Executive Flats,-
Serangoon,Seletar Hills,55 - 59,Condominiums and Other Apartments,140
Serangoon,Seletar Hills,55 - 59,Landed Properties,1000
Serangoon,Seletar Hills,55 - 59,Others,-
Serangoon,Seletar Hills,60 - 64,Total,1200
Serangoon,Seletar Hills,60 - 64,Total HDB^,-
Serangoon,Seletar Hills,60 - 64,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,60 - 64,3-Room Flats,-
Serangoon,Seletar Hills,60 - 64,4-Room Flats,-
Serangoon,Seletar Hills,60 - 64,5-Room and Executive Flats,-
Serangoon,Seletar Hills,60 - 64,Condominiums and Other Apartments,160
Serangoon,Seletar Hills,60 - 64,Landed Properties,1040
Serangoon,Seletar Hills,60 - 64,Others,-
Serangoon,Seletar Hills,65 - 69,Total,1070
Serangoon,Seletar Hills,65 - 69,Total HDB^,-
Serangoon,Seletar Hills,65 - 69,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,65 - 69,3-Room Flats,-
Serangoon,Seletar Hills,65 - 69,4-Room Flats,-
Serangoon,Seletar Hills,65 - 69,5-Room and Executive Flats,-
Serangoon,Seletar Hills,65 - 69,Condominiums and Other Apartments,140
Serangoon,Seletar Hills,65 - 69,Landed Properties,930
Serangoon,Seletar Hills,65 - 69,Others,-
Serangoon,Seletar Hills,70 - 74,Total,860
Serangoon,Seletar Hills,70 - 74,Total HDB^,-
Serangoon,Seletar Hills,70 - 74,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,70 - 74,3-Room Flats,-
Serangoon,Seletar Hills,70 - 74,4-Room Flats,-
Serangoon,Seletar Hills,70 - 74,5-Room and Executive Flats,-
Serangoon,Seletar Hills,70 - 74,Condominiums and Other Apartments,90
Serangoon,Seletar Hills,70 - 74,Landed Properties,770
Serangoon,Seletar Hills,70 - 74,Others,-
Serangoon,Seletar Hills,75 - 79,Total,600
Serangoon,Seletar Hills,75 - 79,Total HDB^,-
Serangoon,Seletar Hills,75 - 79,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,75 - 79,3-Room Flats,-
Serangoon,Seletar Hills,75 - 79,4-Room Flats,-
Serangoon,Seletar Hills,75 - 79,5-Room and Executive Flats,-
Serangoon,Seletar Hills,75 - 79,Condominiums and Other Apartments,70
Serangoon,Seletar Hills,75 - 79,Landed Properties,530
Serangoon,Seletar Hills,75 - 79,Others,-
Serangoon,Seletar Hills,80 - 84,Total,370
Serangoon,Seletar Hills,80 - 84,Total HDB^,-
Serangoon,Seletar Hills,80 - 84,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,80 - 84,3-Room Flats,-
Serangoon,Seletar Hills,80 - 84,4-Room Flats,-
Serangoon,Seletar Hills,80 - 84,5-Room and Executive Flats,-
Serangoon,Seletar Hills,80 - 84,Condominiums and Other Apartments,30
Serangoon,Seletar Hills,80 - 84,Landed Properties,350
Serangoon,Seletar Hills,80 - 84,Others,-
Serangoon,Seletar Hills,85 - 89,Total,210
Serangoon,Seletar Hills,85 - 89,Total HDB^,-
Serangoon,Seletar Hills,85 - 89,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,85 - 89,3-Room Flats,-
Serangoon,Seletar Hills,85 - 89,4-Room Flats,-
Serangoon,Seletar Hills,85 - 89,5-Room and Executive Flats,-
Serangoon,Seletar Hills,85 - 89,Condominiums and Other Apartments,20
Serangoon,Seletar Hills,85 - 89,Landed Properties,200
Serangoon,Seletar Hills,85 - 89,Others,-
Serangoon,Seletar Hills,90 & Over,Total,140
Serangoon,Seletar Hills,90 & Over,Total HDB^,-
Serangoon,Seletar Hills,90 & Over,1- and 2-Room Flats*,-
Serangoon,Seletar Hills,90 & Over,3-Room Flats,-
Serangoon,Seletar Hills,90 & Over,4-Room Flats,-
Serangoon,Seletar Hills,90 & Over,5-Room and Executive Flats,-
Serangoon,Seletar Hills,90 & Over,Condominiums and Other Apartments,10
Serangoon,Seletar Hills,90 & Over,Landed Properties,120
Serangoon,Seletar Hills,90 & Over,Others,-
Serangoon,Serangoon Central,Total,Total,22590
Serangoon,Serangoon Central,Total,Total HDB^,17920
Serangoon,Serangoon Central,Total,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,Total,3-Room Flats,3500
Serangoon,Serangoon Central,Total,4-Room Flats,9690
Serangoon,Serangoon Central,Total,5-Room and Executive Flats,4730
Serangoon,Serangoon Central,Total,Condominiums and Other Apartments,3400
Serangoon,Serangoon Central,Total,Landed Properties,1170
Serangoon,Serangoon Central,Total,Others,110
Serangoon,Serangoon Central,0 - 4,Total,550
Serangoon,Serangoon Central,0 - 4,Total HDB^,390
Serangoon,Serangoon Central,0 - 4,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,0 - 4,3-Room Flats,60
Serangoon,Serangoon Central,0 - 4,4-Room Flats,220
Serangoon,Serangoon Central,0 - 4,5-Room and Executive Flats,120
Serangoon,Serangoon Central,0 - 4,Condominiums and Other Apartments,120
Serangoon,Serangoon Central,0 - 4,Landed Properties,30
Serangoon,Serangoon Central,0 - 4,Others,-
Serangoon,Serangoon Central,5 - 9,Total,700
Serangoon,Serangoon Central,5 - 9,Total HDB^,450
Serangoon,Serangoon Central,5 - 9,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,5 - 9,3-Room Flats,40
Serangoon,Serangoon Central,5 - 9,4-Room Flats,240
Serangoon,Serangoon Central,5 - 9,5-Room and Executive Flats,170
Serangoon,Serangoon Central,5 - 9,Condominiums and Other Apartments,200
Serangoon,Serangoon Central,5 - 9,Landed Properties,40
Serangoon,Serangoon Central,5 - 9,Others,-
Serangoon,Serangoon Central,10 - 14,Total,780
Serangoon,Serangoon Central,10 - 14,Total HDB^,520
Serangoon,Serangoon Central,10 - 14,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,10 - 14,3-Room Flats,60
Serangoon,Serangoon Central,10 - 14,4-Room Flats,300
Serangoon,Serangoon Central,10 - 14,5-Room and Executive Flats,160
Serangoon,Serangoon Central,10 - 14,Condominiums and Other Apartments,190
Serangoon,Serangoon Central,10 - 14,Landed Properties,60
Serangoon,Serangoon Central,10 - 14,Others,-
Serangoon,Serangoon Central,15 - 19,Total,840
Serangoon,Serangoon Central,15 - 19,Total HDB^,610
Serangoon,Serangoon Central,15 - 19,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,15 - 19,3-Room Flats,60
Serangoon,Serangoon Central,15 - 19,4-Room Flats,320
Serangoon,Serangoon Central,15 - 19,5-Room and Executive Flats,220
Serangoon,Serangoon Central,15 - 19,Condominiums and Other Apartments,180
Serangoon,Serangoon Central,15 - 19,Landed Properties,60
Serangoon,Serangoon Central,15 - 19,Others,-
Serangoon,Serangoon Central,20 - 24,Total,1140
Serangoon,Serangoon Central,20 - 24,Total HDB^,850
Serangoon,Serangoon Central,20 - 24,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,20 - 24,3-Room Flats,110
Serangoon,Serangoon Central,20 - 24,4-Room Flats,460
Serangoon,Serangoon Central,20 - 24,5-Room and Executive Flats,280
Serangoon,Serangoon Central,20 - 24,Condominiums and Other Apartments,200
Serangoon,Serangoon Central,20 - 24,Landed Properties,90
Serangoon,Serangoon Central,20 - 24,Others,-
Serangoon,Serangoon Central,25 - 29,Total,1410
Serangoon,Serangoon Central,25 - 29,Total HDB^,1130
Serangoon,Serangoon Central,25 - 29,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,25 - 29,3-Room Flats,180
Serangoon,Serangoon Central,25 - 29,4-Room Flats,610
Serangoon,Serangoon Central,25 - 29,5-Room and Executive Flats,340
Serangoon,Serangoon Central,25 - 29,Condominiums and Other Apartments,210
Serangoon,Serangoon Central,25 - 29,Landed Properties,80
Serangoon,Serangoon Central,25 - 29,Others,-
Serangoon,Serangoon Central,30 - 34,Total,1870
Serangoon,Serangoon Central,30 - 34,Total HDB^,1470
Serangoon,Serangoon Central,30 - 34,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,30 - 34,3-Room Flats,270
Serangoon,Serangoon Central,30 - 34,4-Room Flats,820
Serangoon,Serangoon Central,30 - 34,5-Room and Executive Flats,390
Serangoon,Serangoon Central,30 - 34,Condominiums and Other Apartments,290
Serangoon,Serangoon Central,30 - 34,Landed Properties,90
Serangoon,Serangoon Central,30 - 34,Others,10
Serangoon,Serangoon Central,35 - 39,Total,1600
Serangoon,Serangoon Central,35 - 39,Total HDB^,1260
Serangoon,Serangoon Central,35 - 39,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,35 - 39,3-Room Flats,230
Serangoon,Serangoon Central,35 - 39,4-Room Flats,700
Serangoon,Serangoon Central,35 - 39,5-Room and Executive Flats,320
Serangoon,Serangoon Central,35 - 39,Condominiums and Other Apartments,290
Serangoon,Serangoon Central,35 - 39,Landed Properties,50
Serangoon,Serangoon Central,35 - 39,Others,-
Serangoon,Serangoon Central,40 - 44,Total,1440
Serangoon,Serangoon Central,40 - 44,Total HDB^,1040
Serangoon,Serangoon Central,40 - 44,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,40 - 44,3-Room Flats,210
Serangoon,Serangoon Central,40 - 44,4-Room Flats,590
Serangoon,Serangoon Central,40 - 44,5-Room and Executive Flats,250
Serangoon,Serangoon Central,40 - 44,Condominiums and Other Apartments,340
Serangoon,Serangoon Central,40 - 44,Landed Properties,60
Serangoon,Serangoon Central,40 - 44,Others,-
Serangoon,Serangoon Central,45 - 49,Total,1320
Serangoon,Serangoon Central,45 - 49,Total HDB^,960
Serangoon,Serangoon Central,45 - 49,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,45 - 49,3-Room Flats,210
Serangoon,Serangoon Central,45 - 49,4-Room Flats,540
Serangoon,Serangoon Central,45 - 49,5-Room and Executive Flats,210
Serangoon,Serangoon Central,45 - 49,Condominiums and Other Apartments,290
Serangoon,Serangoon Central,45 - 49,Landed Properties,70
Serangoon,Serangoon Central,45 - 49,Others,-
Serangoon,Serangoon Central,50 - 54,Total,1580
Serangoon,Serangoon Central,50 - 54,Total HDB^,1210
Serangoon,Serangoon Central,50 - 54,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,50 - 54,3-Room Flats,230
Serangoon,Serangoon Central,50 - 54,4-Room Flats,670
Serangoon,Serangoon Central,50 - 54,5-Room and Executive Flats,320
Serangoon,Serangoon Central,50 - 54,Condominiums and Other Apartments,270
Serangoon,Serangoon Central,50 - 54,Landed Properties,90
Serangoon,Serangoon Central,50 - 54,Others,10
Serangoon,Serangoon Central,55 - 59,Total,1500
Serangoon,Serangoon Central,55 - 59,Total HDB^,1160
Serangoon,Serangoon Central,55 - 59,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,55 - 59,3-Room Flats,240
Serangoon,Serangoon Central,55 - 59,4-Room Flats,610
Serangoon,Serangoon Central,55 - 59,5-Room and Executive Flats,310
Serangoon,Serangoon Central,55 - 59,Condominiums and Other Apartments,260
Serangoon,Serangoon Central,55 - 59,Landed Properties,70
Serangoon,Serangoon Central,55 - 59,Others,10
Serangoon,Serangoon Central,60 - 64,Total,1860
Serangoon,Serangoon Central,60 - 64,Total HDB^,1560
Serangoon,Serangoon Central,60 - 64,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,60 - 64,3-Room Flats,350
Serangoon,Serangoon Central,60 - 64,4-Room Flats,830
Serangoon,Serangoon Central,60 - 64,5-Room and Executive Flats,380
Serangoon,Serangoon Central,60 - 64,Condominiums and Other Apartments,210
Serangoon,Serangoon Central,60 - 64,Landed Properties,80
Serangoon,Serangoon Central,60 - 64,Others,-
Serangoon,Serangoon Central,65 - 69,Total,2160
Serangoon,Serangoon Central,65 - 69,Total HDB^,1900
Serangoon,Serangoon Central,65 - 69,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,65 - 69,3-Room Flats,420
Serangoon,Serangoon Central,65 - 69,4-Room Flats,1000
Serangoon,Serangoon Central,65 - 69,5-Room and Executive Flats,480
Serangoon,Serangoon Central,65 - 69,Condominiums and Other Apartments,150
Serangoon,Serangoon Central,65 - 69,Landed Properties,110
Serangoon,Serangoon Central,65 - 69,Others,10
Serangoon,Serangoon Central,70 - 74,Total,1670
Serangoon,Serangoon Central,70 - 74,Total HDB^,1500
Serangoon,Serangoon Central,70 - 74,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,70 - 74,3-Room Flats,360
Serangoon,Serangoon Central,70 - 74,4-Room Flats,810
Serangoon,Serangoon Central,70 - 74,5-Room and Executive Flats,330
Serangoon,Serangoon Central,70 - 74,Condominiums and Other Apartments,100
Serangoon,Serangoon Central,70 - 74,Landed Properties,70
Serangoon,Serangoon Central,70 - 74,Others,10
Serangoon,Serangoon Central,75 - 79,Total,1090
Serangoon,Serangoon Central,75 - 79,Total HDB^,960
Serangoon,Serangoon Central,75 - 79,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,75 - 79,3-Room Flats,240
Serangoon,Serangoon Central,75 - 79,4-Room Flats,510
Serangoon,Serangoon Central,75 - 79,5-Room and Executive Flats,210
Serangoon,Serangoon Central,75 - 79,Condominiums and Other Apartments,60
Serangoon,Serangoon Central,75 - 79,Landed Properties,60
Serangoon,Serangoon Central,75 - 79,Others,10
Serangoon,Serangoon Central,80 - 84,Total,570
Serangoon,Serangoon Central,80 - 84,Total HDB^,510
Serangoon,Serangoon Central,80 - 84,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,80 - 84,3-Room Flats,120
Serangoon,Serangoon Central,80 - 84,4-Room Flats,260
Serangoon,Serangoon Central,80 - 84,5-Room and Executive Flats,130
Serangoon,Serangoon Central,80 - 84,Condominiums and Other Apartments,30
Serangoon,Serangoon Central,80 - 84,Landed Properties,30
Serangoon,Serangoon Central,80 - 84,Others,10
Serangoon,Serangoon Central,85 - 89,Total,350
Serangoon,Serangoon Central,85 - 89,Total HDB^,310
Serangoon,Serangoon Central,85 - 89,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,85 - 89,3-Room Flats,80
Serangoon,Serangoon Central,85 - 89,4-Room Flats,160
Serangoon,Serangoon Central,85 - 89,5-Room and Executive Flats,70
Serangoon,Serangoon Central,85 - 89,Condominiums and Other Apartments,20
Serangoon,Serangoon Central,85 - 89,Landed Properties,20
Serangoon,Serangoon Central,85 - 89,Others,10
Serangoon,Serangoon Central,90 & Over,Total,170
Serangoon,Serangoon Central,90 & Over,Total HDB^,140
Serangoon,Serangoon Central,90 & Over,1- and 2-Room Flats*,-
Serangoon,Serangoon Central,90 & Over,3-Room Flats,30
Serangoon,Serangoon Central,90 & Over,4-Room Flats,70
Serangoon,Serangoon Central,90 & Over,5-Room and Executive Flats,40
Serangoon,Serangoon Central,90 & Over,Condominiums and Other Apartments,10
Serangoon,Serangoon Central,90 & Over,Landed Properties,10
Serangoon,Serangoon Central,90 & Over,Others,10
Serangoon,Serangoon Garden,Total,Total,37450
Serangoon,Serangoon Garden,Total,Total HDB^,18070
Serangoon,Serangoon Garden,Total,1- and 2-Room Flats*,1140
Serangoon,Serangoon Garden,Total,3-Room Flats,4140
Serangoon,Serangoon Garden,Total,4-Room Flats,8930
Serangoon,Serangoon Garden,Total,5-Room and Executive Flats,3870
Serangoon,Serangoon Garden,Total,Condominiums and Other Apartments,3940
Serangoon,Serangoon Garden,Total,Landed Properties,14910
Serangoon,Serangoon Garden,Total,Others,540
Serangoon,Serangoon Garden,0 - 4,Total,1210
Serangoon,Serangoon Garden,0 - 4,Total HDB^,470
Serangoon,Serangoon Garden,0 - 4,1- and 2-Room Flats*,40
Serangoon,Serangoon Garden,0 - 4,3-Room Flats,80
Serangoon,Serangoon Garden,0 - 4,4-Room Flats,210
Serangoon,Serangoon Garden,0 - 4,5-Room and Executive Flats,140
Serangoon,Serangoon Garden,0 - 4,Condominiums and Other Apartments,320
Serangoon,Serangoon Garden,0 - 4,Landed Properties,410
Serangoon,Serangoon Garden,0 - 4,Others,10
Serangoon,Serangoon Garden,5 - 9,Total,1400
Serangoon,Serangoon Garden,5 - 9,Total HDB^,480
Serangoon,Serangoon Garden,5 - 9,1- and 2-Room Flats*,50
Serangoon,Serangoon Garden,5 - 9,3-Room Flats,90
Serangoon,Serangoon Garden,5 - 9,4-Room Flats,200
Serangoon,Serangoon Garden,5 - 9,5-Room and Executive Flats,140
Serangoon,Serangoon Garden,5 - 9,Condominiums and Other Apartments,300
Serangoon,Serangoon Garden,5 - 9,Landed Properties,620
Serangoon,Serangoon Garden,5 - 9,Others,10
Serangoon,Serangoon Garden,10 - 14,Total,1570
Serangoon,Serangoon Garden,10 - 14,Total HDB^,580
Serangoon,Serangoon Garden,10 - 14,1- and 2-Room Flats*,60
Serangoon,Serangoon Garden,10 - 14,3-Room Flats,110
Serangoon,Serangoon Garden,10 - 14,4-Room Flats,260
Serangoon,Serangoon Garden,10 - 14,5-Room and Executive Flats,150
Serangoon,Serangoon Garden,10 - 14,Condominiums and Other Apartments,220
Serangoon,Serangoon Garden,10 - 14,Landed Properties,750
Serangoon,Serangoon Garden,10 - 14,Others,20
Serangoon,Serangoon Garden,15 - 19,Total,1790
Serangoon,Serangoon Garden,15 - 19,Total HDB^,680
Serangoon,Serangoon Garden,15 - 19,1- and 2-Room Flats*,70
Serangoon,Serangoon Garden,15 - 19,3-Room Flats,130
Serangoon,Serangoon Garden,15 - 19,4-Room Flats,320
Serangoon,Serangoon Garden,15 - 19,5-Room and Executive Flats,170
Serangoon,Serangoon Garden,15 - 19,Condominiums and Other Apartments,160
Serangoon,Serangoon Garden,15 - 19,Landed Properties,930
Serangoon,Serangoon Garden,15 - 19,Others,20
Serangoon,Serangoon Garden,20 - 24,Total,1860
Serangoon,Serangoon Garden,20 - 24,Total HDB^,800
Serangoon,Serangoon Garden,20 - 24,1- and 2-Room Flats*,60
Serangoon,Serangoon Garden,20 - 24,3-Room Flats,170
Serangoon,Serangoon Garden,20 - 24,4-Room Flats,370
Serangoon,Serangoon Garden,20 - 24,5-Room and Executive Flats,200
Serangoon,Serangoon Garden,20 - 24,Condominiums and Other Apartments,130
Serangoon,Serangoon Garden,20 - 24,Landed Properties,920
Serangoon,Serangoon Garden,20 - 24,Others,10
Serangoon,Serangoon Garden,25 - 29,Total,2370
Serangoon,Serangoon Garden,25 - 29,Total HDB^,1100
Serangoon,Serangoon Garden,25 - 29,1- and 2-Room Flats*,70
Serangoon,Serangoon Garden,25 - 29,3-Room Flats,220
Serangoon,Serangoon Garden,25 - 29,4-Room Flats,570
Serangoon,Serangoon Garden,25 - 29,5-Room and Executive Flats,250
Serangoon,Serangoon Garden,25 - 29,Condominiums and Other Apartments,220
Serangoon,Serangoon Garden,25 - 29,Landed Properties,1040
Serangoon,Serangoon Garden,25 - 29,Others,10
Serangoon,Serangoon Garden,30 - 34,Total,2610
Serangoon,Serangoon Garden,30 - 34,Total HDB^,1280
Serangoon,Serangoon Garden,30 - 34,1- and 2-Room Flats*,50
Serangoon,Serangoon Garden,30 - 34,3-Room Flats,200
Serangoon,Serangoon Garden,30 - 34,4-Room Flats,750
Serangoon,Serangoon Garden,30 - 34,5-Room and Executive Flats,280
Serangoon,Serangoon Garden,30 - 34,Condominiums and Other Apartments,450
Serangoon,Serangoon Garden,30 - 34,Landed Properties,850
Serangoon,Serangoon Garden,30 - 34,Others,20
Serangoon,Serangoon Garden,35 - 39,Total,2580
Serangoon,Serangoon Garden,35 - 39,Total HDB^,1230
Serangoon,Serangoon Garden,35 - 39,1- and 2-Room Flats*,50
Serangoon,Serangoon Garden,35 - 39,3-Room Flats,270
Serangoon,Serangoon Garden,35 - 39,4-Room Flats,620
Serangoon,Serangoon Garden,35 - 39,5-Room and Executive Flats,290
Serangoon,Serangoon Garden,35 - 39,Condominiums and Other Apartments,640
Serangoon,Serangoon Garden,35 - 39,Landed Properties,690
Serangoon,Serangoon Garden,35 - 39,Others,20
Serangoon,Serangoon Garden,40 - 44,Total,2280
Serangoon,Serangoon Garden,40 - 44,Total HDB^,1080
Serangoon,Serangoon Garden,40 - 44,1- and 2-Room Flats*,60
Serangoon,Serangoon Garden,40 - 44,3-Room Flats,270
Serangoon,Serangoon Garden,40 - 44,4-Room Flats,520
Serangoon,Serangoon Garden,40 - 44,5-Room and Executive Flats,240
Serangoon,Serangoon Garden,40 - 44,Condominiums and Other Apartments,440
Serangoon,Serangoon Garden,40 - 44,Landed Properties,750
Serangoon,Serangoon Garden,40 - 44,Others,20
Serangoon,Serangoon Garden,45 - 49,Total,2460
Serangoon,Serangoon Garden,45 - 49,Total HDB^,1130
Serangoon,Serangoon Garden,45 - 49,1- and 2-Room Flats*,40
Serangoon,Serangoon Garden,45 - 49,3-Room Flats,270
Serangoon,Serangoon Garden,45 - 49,4-Room Flats,560
Serangoon,Serangoon Garden,45 - 49,5-Room and Executive Flats,260
Serangoon,Serangoon Garden,45 - 49,Condominiums and Other Apartments,320
Serangoon,Serangoon Garden,45 - 49,Landed Properties,1000
Serangoon,Serangoon Garden,45 - 49,Others,20
Serangoon,Serangoon Garden,50 - 54,Total,2600
Serangoon,Serangoon Garden,50 - 54,Total HDB^,1200
Serangoon,Serangoon Garden,50 - 54,1- and 2-Room Flats*,50
Serangoon,Serangoon Garden,50 - 54,3-Room Flats,320
Serangoon,Serangoon Garden,50 - 54,4-Room Flats,590
Serangoon,Serangoon Garden,50 - 54,5-Room and Executive Flats,240
Serangoon,Serangoon Garden,50 - 54,Condominiums and Other Apartments,210
Serangoon,Serangoon Garden,50 - 54,Landed Properties,1170
Serangoon,Serangoon Garden,50 - 54,Others,20
Serangoon,Serangoon Garden,55 - 59,Total,2500
Serangoon,Serangoon Garden,55 - 59,Total HDB^,1250
Serangoon,Serangoon Garden,55 - 59,1- and 2-Room Flats*,80
Serangoon,Serangoon Garden,55 - 59,3-Room Flats,360
Serangoon,Serangoon Garden,55 - 59,4-Room Flats,600
Serangoon,Serangoon Garden,55 - 59,5-Room and Executive Flats,220
Serangoon,Serangoon Garden,55 - 59,Condominiums and Other Apartments,120
Serangoon,Serangoon Garden,55 - 59,Landed Properties,1090
Serangoon,Serangoon Garden,55 - 59,Others,30
Serangoon,Serangoon Garden,60 - 64,Total,2770
Serangoon,Serangoon Garden,60 - 64,Total HDB^,1540
Serangoon,Serangoon Garden,60 - 64,1- and 2-Room Flats*,90
Serangoon,Serangoon Garden,60 - 64,3-Room Flats,370
Serangoon,Serangoon Garden,60 - 64,4-Room Flats,780
Serangoon,Serangoon Garden,60 - 64,5-Room and Executive Flats,300
Serangoon,Serangoon Garden,60 - 64,Condominiums and Other Apartments,120
Serangoon,Serangoon Garden,60 - 64,Landed Properties,1070
Serangoon,Serangoon Garden,60 - 64,Others,40
Serangoon,Serangoon Garden,65 - 69,Total,3070
Serangoon,Serangoon Garden,65 - 69,Total HDB^,1790
Serangoon,Serangoon Garden,65 - 69,1- and 2-Room Flats*,150
Serangoon,Serangoon Garden,65 - 69,3-Room Flats,410
Serangoon,Serangoon Garden,65 - 69,4-Room Flats,910
Serangoon,Serangoon Garden,65 - 69,5-Room and Executive Flats,330
Serangoon,Serangoon Garden,65 - 69,Condominiums and Other Apartments,130
Serangoon,Serangoon Garden,65 - 69,Landed Properties,1110
Serangoon,Serangoon Garden,65 - 69,Others,40
Serangoon,Serangoon Garden,70 - 74,Total,2610
Serangoon,Serangoon Garden,70 - 74,Total HDB^,1550
Serangoon,Serangoon Garden,70 - 74,1- and 2-Room Flats*,130
Serangoon,Serangoon Garden,70 - 74,3-Room Flats,400
Serangoon,Serangoon Garden,70 - 74,4-Room Flats,730
Serangoon,Serangoon Garden,70 - 74,5-Room and Executive Flats,290
Serangoon,Serangoon Garden,70 - 74,Condominiums and Other Apartments,70
Serangoon,Serangoon Garden,70 - 74,Landed Properties,930
Serangoon,Serangoon Garden,70 - 74,Others,50
Serangoon,Serangoon Garden,75 - 79,Total,1690
Serangoon,Serangoon Garden,75 - 79,Total HDB^,960
Serangoon,Serangoon Garden,75 - 79,1- and 2-Room Flats*,50
Serangoon,Serangoon Garden,75 - 79,3-Room Flats,250
Serangoon,Serangoon Garden,75 - 79,4-Room Flats,470
Serangoon,Serangoon Garden,75 - 79,5-Room and Executive Flats,190
Serangoon,Serangoon Garden,75 - 79,Condominiums and Other Apartments,50
Serangoon,Serangoon Garden,75 - 79,Landed Properties,640
Serangoon,Serangoon Garden,75 - 79,Others,40
Serangoon,Serangoon Garden,80 - 84,Total,1030
Serangoon,Serangoon Garden,80 - 84,Total HDB^,540
Serangoon,Serangoon Garden,80 - 84,1- and 2-Room Flats*,30
Serangoon,Serangoon Garden,80 - 84,3-Room Flats,150
Serangoon,Serangoon Garden,80 - 84,4-Room Flats,240
Serangoon,Serangoon Garden,80 - 84,5-Room and Executive Flats,110
Serangoon,Serangoon Garden,80 - 84,Condominiums and Other Apartments,20
Serangoon,Serangoon Garden,80 - 84,Landed Properties,430
Serangoon,Serangoon Garden,80 - 84,Others,50
Serangoon,Serangoon Garden,85 - 89,Total,660
Serangoon,Serangoon Garden,85 - 89,Total HDB^,280
Serangoon,Serangoon Garden,85 - 89,1- and 2-Room Flats*,10
Serangoon,Serangoon Garden,85 - 89,3-Room Flats,70
Serangoon,Serangoon Garden,85 - 89,4-Room Flats,140
Serangoon,Serangoon Garden,85 - 89,5-Room and Executive Flats,60
Serangoon,Serangoon Garden,85 - 89,Condominiums and Other Apartments,20
Serangoon,Serangoon Garden,85 - 89,Landed Properties,290
Serangoon,Serangoon Garden,85 - 89,Others,70
Serangoon,Serangoon Garden,90 & Over,Total,400
Serangoon,Serangoon Garden,90 & Over,Total HDB^,130
Serangoon,Serangoon Garden,90 & Over,1- and 2-Room Flats*,10
Serangoon,Serangoon Garden,90 & Over,3-Room Flats,20
Serangoon,Serangoon Garden,90 & Over,4-Room Flats,70
Serangoon,Serangoon Garden,90 & Over,5-Room and Executive Flats,30
Serangoon,Serangoon Garden,90 & Over,Condominiums and Other Apartments,10
Serangoon,Serangoon Garden,90 & Over,Landed Properties,210
Serangoon,Serangoon Garden,90 & Over,Others,60
Serangoon,Serangoon North,Total,Total,15200
Serangoon,Serangoon North,Total,Total HDB^,15180
Serangoon,Serangoon North,Total,1- and 2-Room Flats*,-
Serangoon,Serangoon North,Total,3-Room Flats,-
Serangoon,Serangoon North,Total,4-Room Flats,6010
Serangoon,Serangoon North,Total,5-Room and Executive Flats,9170
Serangoon,Serangoon North,Total,Condominiums and Other Apartments,-
Serangoon,Serangoon North,Total,Landed Properties,-
Serangoon,Serangoon North,Total,Others,20
